# Model-estimated failure probability based on synthetic demonstration data; not a validated real-world failure probability.
asset_id,asset_type,substation,location,latitude,longitude,age_years,temperature,temperature_trend,vibration,oil_quality,load_percentage,maintenance_days_ago,maintenance_count,previous_failures,weather_severity,humidity,wind_speed,rainfall,historical_incidents,criticality,downstream_customers,critical_facilities,neighbor_count,failure_within_horizon,failure_probability,failure_risk_percent,risk_category
CAP-102,capacitor_bank,Nadiad Substation,Nadiad,22.32412,73.47824,1.9,56.9,falling,3.52,77.6,58.0,242,5,0,0.0,63.6,18.7,76.5,0,Low,771,0,2,0,0.0018202774133482262,0.18,LOW
BRK-103,breaker,Baroda South Substation,Baroda South,21.97388,73.47647,18.5,53.2,rising,2.48,88.2,58.5,58,7,0,15.9,81.1,16.2,18.8,0,Medium,1603,0,4,0,0.002275216808769958,0.23,LOW
CAP-103,capacitor_bank,Baroda South Substation,Baroda South,22.39083,73.06576,22.3,55.1,stable,3.54,70.2,64.9,282,6,0,29.4,43.7,11.8,107.2,0,Low,522,0,5,1,0.967192248953267,96.72,MEDIUM
RCL-102,recloser,Baroda North Substation,Baroda North,21.98369,73.22152,21.9,56.9,stable,3.41,73.4,77.2,168,4,0,22.9,26.9,46.1,9.0,0,Low,298,0,3,0,0.005111511768069937,0.51,LOW
TX-107,transformer,Godhra Substation,Godhra,22.02905,72.93083,27.3,65.6,stable,4.06,69.6,68.7,263,4,0,46.5,45.6,41.2,2.1,1,Low,20,0,3,0,0.23049049981502095,23.05,MEDIUM
FDR-104,feeder,Baroda North Substation,Baroda North,22.33786,73.05879,7.6,52.3,rising,3.09,85.1,70.9,137,5,0,24.1,39.6,21.3,107.8,0,Medium,481,0,2,0,0.001994954481148013,0.2,LOW
TX-108,transformer,Padra Substation,Padra,22.54483,73.16349,32.1,63.4,stable,4.26,68.2,61.6,84,2,0,2.7,34.2,14.0,95.0,1,Low,43,0,5,1,0.9770724047016541,97.71,MEDIUM
TX-109,transformer,Vadodara Central Substation,Vadodara Central,22.57834,73.18201,15.2,58.9,rising,4.49,74.9,93.5,176,7,0,41.7,79.4,22.2,0.0,0,Low,493,0,4,0,0.04057845384351836,4.06,LOW
TX-110,transformer,Baroda North Substation,Baroda North,22.20668,73.31895,25.2,56.7,rising,3.3,74.6,54.5,318,7,0,38.0,46.7,21.3,2.0,0,Medium,1749,1,3,1,0.9385370560182372,93.85,MEDIUM
RCL-103,recloser,Karjan Substation,Karjan,22.50482,73.06575,19.0,60.0,stable,4.71,60.0,94.3,307,6,0,35.5,40.2,23.8,1.9,1,Low,467,0,2,0,0.024816978625134253,2.48,LOW
FDR-105,feeder,Padra Substation,Padra,22.58657,73.1972,39.1,64.9,stable,4.5,67.1,64.4,323,8,0,2.6,33.1,31.2,14.1,0,High,2362,0,6,1,0.8382700930709351,83.83,MEDIUM
FDR-106,feeder,Karjan Substation,Karjan,22.5982,73.34806,43.7,62.0,stable,4.66,53.2,73.0,319,2,1,70.1,75.2,14.0,70.8,1,Medium,1036,1,3,1,0.9963891869279297,99.64,CRITICAL
TX-111,transformer,Baroda North Substation,Baroda North,22.28262,72.94432,17.5,51.4,stable,2.7,72.4,47.1,113,7,0,18.8,62.1,15.1,14.0,0,Low,464,0,6,0,0.005279461672623377,0.53,LOW
RCL-104,recloser,Nadiad Substation,Nadiad,22.44302,73.03807,9.8,56.5,stable,3.69,81.6,70.1,256,3,0,93.3,52.0,30.8,17.3,1,Medium,768,0,3,0,0.008367999995932377,0.84,LOW
TX-112,transformer,Godhra Substation,Godhra,22.53983,73.46651,37.9,63.7,falling,4.23,66.0,66.4,175,4,0,33.9,54.9,11.8,69.4,0,Medium,1621,2,3,0,0.08243956993690736,8.24,LOW
TX-113,transformer,Bharuch Substation,Bharuch,22.51896,73.23684,10.9,64.0,stable,4.11,58.3,54.0,285,3,0,52.2,38.1,30.2,37.4,0,Low,741,0,5,0,0.09411927262723294,9.41,LOW
TX-114,transformer,Baroda North Substation,Baroda North,21.9229,73.12232,6.1,49.4,rising,2.95,81.8,71.7,146,3,1,50.9,48.8,6.2,0.0,1,Medium,1005,1,3,0,0.0008690380270607092,0.09,LOW
RCL-105,recloser,Bharuch Substation,Bharuch,22.12999,72.98853,16.8,51.4,rising,3.13,85.2,81.9,222,3,0,17.1,57.6,10.7,71.7,0,Medium,1620,1,2,0,0.00736310725692761,0.74,LOW
TX-115,transformer,Baroda South Substation,Baroda South,22.19839,72.96478,12.7,50.2,stable,3.06,78.7,69.1,162,3,0,26.3,36.9,7.3,83.1,0,Medium,1021,4,4,0,0.0014856967235211554,0.15,LOW
FDR-107,feeder,Baroda North Substation,Baroda North,21.96656,73.15606,26.8,62.0,rising,3.91,67.7,62.7,170,4,0,32.1,68.7,9.2,64.6,0,Low,122,0,6,0,0.036650843734555044,3.67,LOW
FDR-108,feeder,Baroda South Substation,Baroda South,22.35972,73.03455,20.0,65.3,rising,4.77,64.6,76.0,236,3,1,24.8,69.7,14.2,49.8,1,Low,342,0,2,1,0.9858782073237352,98.59,HIGH
CAP-104,capacitor_bank,Bharuch Substation,Bharuch,21.96423,73.21829,25.7,58.4,stable,3.43,78.2,61.1,102,4,0,35.3,57.6,0.0,26.9,0,Medium,1478,2,1,0,0.013220840938468995,1.32,LOW
FDR-109,feeder,Baroda South Substation,Baroda South,22.58911,72.93287,4.7,46.3,rising,2.24,89.2,50.2,64,3,0,39.0,55.2,13.1,14.2,0,Medium,1421,0,4,0,0.0009791572566073806,0.1,LOW
RCL-106,recloser,Baroda South Substation,Baroda South,22.02031,73.46857,19.9,60.9,stable,4.66,60.3,75.4,301,1,0,62.9,49.2,19.0,25.7,0,Medium,1641,0,3,1,0.9832196146547287,98.32,HIGH
BRK-104,breaker,Bharuch Substation,Bharuch,21.95275,73.47078,24.1,54.4,rising,3.04,77.6,61.6,208,6,1,55.1,40.9,31.1,67.0,1,Low,20,0,6,0,0.0028002754647242422,0.28,LOW
FDR-110,feeder,Karjan Substation,Karjan,22.30623,73.47254,39.0,66.4,rising,4.8,56.5,86.3,262,6,1,52.0,50.1,19.0,46.9,1,High,2078,1,4,1,0.9980701421754309,99.81,CRITICAL
TX-116,transformer,Karjan Substation,Karjan,22.13425,73.09781,3.7,50.8,falling,2.99,74.4,55.9,233,5,0,60.3,46.3,17.2,20.1,0,Low,604,0,6,0,0.0012044543876209856,0.12,LOW
FDR-111,feeder,Nadiad Substation,Nadiad,22.36932,73.20509,15.7,55.7,rising,3.14,76.0,48.7,289,1,0,12.8,36.0,30.4,60.2,0,Medium,819,0,6,1,0.9653441384120851,96.53,MEDIUM
TX-117,transformer,Godhra Substation,Godhra,22.37345,73.04252,7.8,52.2,stable,3.05,80.2,51.4,149,3,0,4.0,47.9,14.7,62.6,0,High,2687,2,3,0,0.0019213130774704897,0.19,LOW
TX-118,transformer,Halol Substation,Halol,22.48173,72.95503,20.4,65.8,stable,4.11,58.2,60.8,222,1,0,18.2,40.7,19.2,90.5,0,Low,449,1,4,0,0.02727954159853539,2.73,LOW
CAP-105,capacitor_bank,Bharuch Substation,Bharuch,22.26944,72.96671,10.9,52.6,rising,2.91,72.1,64.1,101,7,0,27.6,55.9,6.8,0.0,1,Low,20,1,5,0,0.0022653246456527565,0.23,LOW
TX-119,transformer,Anand Substation,Anand,22.17332,73.18208,37.8,59.9,stable,3.94,66.2,60.0,138,6,0,41.6,63.6,31.7,7.3,0,Medium,1251,1,1,0,0.016032100975716154,1.6,LOW
RCL-107,recloser,Nadiad Substation,Nadiad,22.52005,73.08936,29.9,64.6,stable,4.99,53.4,76.5,220,1,1,15.3,72.0,16.6,47.8,1,High,2371,2,2,1,0.9875520749600502,98.76,HIGH
FDR-112,feeder,Padra Substation,Padra,22.28183,73.09273,38.9,58.4,stable,4.19,64.2,69.0,318,0,0,60.8,63.9,32.2,0.0,0,Low,862,0,2,1,0.9912704418418936,99.13,HIGH
BRK-105,breaker,Nadiad Substation,Nadiad,22.44496,73.1198,20.7,61.2,falling,3.84,75.1,60.6,150,7,0,51.7,30.1,16.6,44.7,0,Medium,1374,0,2,0,0.02926414962669129,2.93,LOW
FDR-113,feeder,Karjan Substation,Karjan,22.49698,73.17123,4.4,46.6,stable,2.75,79.6,59.4,167,6,1,59.2,74.1,29.6,33.1,1,Medium,1066,1,2,0,0.0007898882472645748,0.08,LOW
FDR-114,feeder,Baroda North Substation,Baroda North,22.1165,73.49976,13.8,56.2,rising,3.42,70.8,64.5,91,5,0,97.8,56.5,29.6,10.7,0,High,2549,3,1,0,0.0032818706551669286,0.33,LOW
FDR-115,feeder,Vadodara Central Substation,Vadodara Central,22.09212,73.27501,35.3,63.5,rising,4.76,58.0,84.9,200,5,0,50.6,44.6,32.1,0.0,0,High,2885,2,5,1,0.9952904000869719,99.53,CRITICAL
TX-120,transformer,Baroda South Substation,Baroda South,22.18426,73.17213,40.7,65.9,falling,5.09,64.1,99.0,279,4,0,29.0,36.3,11.9,112.1,0,Medium,1438,0,6,1,0.9967995519267788,99.68,CRITICAL
TX-121,transformer,Vadodara Central Substation,Vadodara Central,22.55363,73.33268,32.6,62.3,falling,4.06,69.6,77.3,195,3,0,61.9,55.1,22.5,31.4,0,Low,733,0,3,1,0.9710698613987444,97.11,MEDIUM
TX-122,transformer,Padra Substation,Padra,22.03626,73.23193,18.3,56.0,rising,3.3,77.0,64.8,161,6,0,14.9,62.1,18.2,58.3,0,Low,604,0,5,1,0.015821105670133225,1.58,LOW
FDR-116,feeder,Padra Substation,Padra,22.17507,73.2699,43.9,61.0,stable,4.18,61.3,57.0,330,2,0,40.9,63.8,24.8,1.8,0,Medium,1363,0,2,0,0.036267615667708496,3.63,LOW
FDR-117,feeder,Padra Substation,Padra,22.44222,73.12811,36.9,64.3,stable,5.15,63.6,90.3,225,4,1,39.4,80.7,14.4,47.5,1,Medium,846,1,5,1,0.9947336384094821,99.47,CRITICAL
TX-123,transformer,Karjan Substation,Karjan,22.46256,73.05862,19.1,54.6,falling,2.87,76.6,78.9,72,5,0,55.3,42.1,16.6,75.8,0,Low,1083,0,6,0,0.008394166420292035,0.84,LOW
RCL-108,recloser,Nadiad Substation,Nadiad,22.42314,73.02839,32.0,61.5,rising,4.56,58.1,92.4,175,3,1,25.2,70.5,0.0,49.8,1,Medium,1026,0,3,0,0.04441578621986128,4.44,LOW
TX-124,transformer,Padra Substation,Padra,22.09979,72.9355,11.7,57.5,stable,3.36,79.4,65.4,154,7,0,60.0,22.2,10.8,0.0,0,Medium,1751,1,3,0,0.0044958312094713305,0.45,LOW
BRK-106,breaker,Godhra Substation,Godhra,22.52248,72.98052,8.7,53.9,rising,3.19,84.9,100.2,32,10,1,17.7,56.5,17.0,24.8,1,Low,330,1,4,0,0.006299801934059869,0.63,LOW
TX-125,transformer,Baroda North Substation,Baroda North,22.56782,73.08117,1.6,47.9,stable,2.5,89.9,59.4,85,3,0,48.6,49.5,20.6,79.6,0,Low,354,0,3,0,0.0011931092419704963,0.12,LOW
TX-126,transformer,Bharuch Substation,Bharuch,22.37624,73.25749,40.4,61.8,rising,4.19,70.8,90.6,288,4,0,52.0,54.7,4.4,1.9,0,Medium,1522,0,2,1,0.9964509192423396,99.65,CRITICAL
FDR-118,feeder,Padra Substation,Padra,22.42206,73.24699,26.2,56.7,rising,3.66,71.4,64.5,189,6,0,54.2,37.8,21.5,28.4,0,High,2232,2,1,1,0.9034790106782735,90.35,MEDIUM
TX-127,transformer,Baroda North Substation,Baroda North,22.17514,72.97641,21.8,53.8,rising,3.67,84.4,78.8,229,2,0,69.4,67.7,13.2,119.1,0,Low,836,0,5,0,0.015642442411915532,1.56,LOW
CAP-106,capacitor_bank,Anand Substation,Anand,22.06404,73.03036,21.3,58.3,rising,4.07,70.1,85.9,132,1,1,10.9,55.3,21.7,8.4,1,High,1988,2,4,0,0.34953595283370137,34.95,MEDIUM
TX-128,transformer,Padra Substation,Padra,22.16352,73.35265,39.6,65.9,stable,4.18,67.3,63.9,236,4,0,29.9,50.6,16.9,11.9,0,Medium,1716,0,3,1,0.979695417998337,97.97,MEDIUM
CAP-107,capacitor_bank,Nadiad Substation,Nadiad,22.50863,73.09978,24.3,57.8,rising,3.74,69.5,67.4,209,1,0,32.5,40.3,27.5,53.2,0,Medium,1333,0,2,0,0.016363949760592817,1.64,LOW
TX-129,transformer,Godhra Substation,Godhra,22.28732,73.25042,25.3,60.2,stable,3.41,72.9,58.2,171,3,1,40.7,26.8,21.6,68.9,1,Medium,1127,1,3,0,0.010864945444621875,1.09,LOW
TX-130,transformer,Godhra Substation,Godhra,21.93396,72.90383,29.8,58.6,rising,3.87,74.1,82.2,35,6,0,71.2,51.8,6.6,77.9,0,Low,181,1,6,1,0.9750823536834665,97.51,MEDIUM
FDR-119,feeder,Baroda North Substation,Baroda North,22.07669,73.11266,28.1,59.0,stable,3.8,71.2,85.3,194,3,0,95.5,63.7,4.2,66.5,1,Low,20,0,5,0,0.024453411929752564,2.45,LOW
TX-131,transformer,Vadodara Central Substation,Vadodara Central,22.04799,73.42087,37.4,57.8,falling,4.07,65.3,69.8,193,1,0,46.2,80.2,27.6,20.7,0,High,1952,3,2,0,0.0255028246031827,2.55,LOW
FDR-120,feeder,Anand Substation,Anand,22.58203,72.93222,38.4,56.4,rising,4.42,75.7,84.6,286,3,0,66.1,68.2,5.8,6.7,0,Medium,1213,0,6,1,0.9939022940121208,99.39,CRITICAL
CAP-108,capacitor_bank,Bharuch Substation,Bharuch,22.12167,72.96393,15.4,57.4,stable,3.38,73.6,59.9,183,6,0,64.3,56.7,9.7,40.3,0,Low,536,0,4,1,0.9460418590262596,94.6,MEDIUM
TX-132,transformer,Bharuch Substation,Bharuch,21.94429,73.16081,5.5,45.3,stable,2.35,81.1,45.3,55,2,0,54.4,11.2,6.5,41.9,0,Low,824,0,2,0,0.0006649879477704891,0.07,LOW
FDR-121,feeder,Baroda North Substation,Baroda North,22.57811,73.07487,28.1,57.0,rising,4.01,71.9,80.9,181,6,0,23.9,64.7,5.0,15.5,0,Medium,1134,0,4,0,0.1359327146795425,13.59,MEDIUM
FDR-122,feeder,Karjan Substation,Karjan,22.36106,73.32914,17.1,65.0,rising,4.48,59.1,79.4,207,3,0,0.0,63.4,0.0,101.6,0,Medium,1585,1,3,0,0.35898147231677496,35.9,MEDIUM
TX-133,transformer,Karjan Substation,Karjan,21.97416,72.95916,31.4,60.9,stable,3.84,70.6,54.9,299,7,0,59.1,41.7,29.4,136.5,0,Low,675,0,4,1,0.9872178153059022,98.72,HIGH
BRK-107,breaker,Padra Substation,Padra,21.94702,72.92681,35.0,63.8,stable,4.16,62.7,71.4,230,5,1,40.4,63.2,24.7,17.1,1,Medium,1366,0,3,1,0.9683853160827509,96.84,MEDIUM
TX-134,transformer,Bharuch Substation,Bharuch,22.30414,73.3797,11.7,56.4,rising,3.27,69.4,41.9,134,5,0,67.2,75.4,20.5,55.2,0,Medium,1743,1,1,0,0.00514808505326496,0.51,LOW
FDR-123,feeder,Godhra Substation,Godhra,22.3175,73.24488,29.1,58.3,stable,3.71,75.4,59.5,150,6,0,11.5,50.3,15.2,51.7,0,Low,530,0,4,0,0.03287145830979306,3.29,LOW
FDR-124,feeder,Padra Substation,Padra,22.05739,73.0732,14.8,57.5,rising,3.46,78.0,68.1,188,7,0,35.2,48.8,8.5,61.7,1,Low,57,0,3,0,0.005022566024073109,0.5,LOW
FDR-125,feeder,Halol Substation,Halol,22.04691,73.34257,37.2,65.4,stable,5.19,66.1,93.8,267,7,2,66.8,38.1,54.5,9.2,2,Low,500,1,2,1,0.9267702537091703,92.68,MEDIUM
CAP-109,capacitor_bank,Karjan Substation,Karjan,22.391,72.97961,10.1,55.1,rising,3.66,74.8,66.9,260,4,1,56.2,77.5,16.6,114.2,1,High,2705,4,2,1,0.9711592912535267,97.12,MEDIUM
TX-135,transformer,Godhra Substation,Godhra,22.49507,73.37741,12.8,57.6,stable,3.26,72.5,53.0,92,4,0,86.9,67.7,15.3,100.4,0,Medium,1309,0,3,0,0.016266903211202558,1.63,LOW
RCL-109,recloser,Godhra Substation,Godhra,21.96534,73.11626,6.7,57.3,stable,3.18,80.9,82.7,94,5,1,35.9,64.1,27.2,76.9,1,High,2181,2,3,1,0.0035492157015200305,0.35,LOW
BRK-108,breaker,Baroda South Substation,Baroda South,22.51669,72.98228,19.9,49.0,rising,2.98,82.9,66.3,165,5,0,39.0,76.6,31.6,26.3,0,Low,25,0,3,0,0.002125499262772371,0.21,LOW
BRK-109,breaker,Baroda South Substation,Baroda South,22.28738,73.26,27.9,63.0,rising,5.1,61.4,79.4,334,2,2,48.8,59.9,22.0,35.9,2,Medium,976,1,2,1,0.9022403617800747,90.22,MEDIUM
BRK-110,breaker,Anand Substation,Anand,22.02094,73.18261,23.4,66.6,rising,5.27,61.3,98.2,273,6,1,58.7,14.3,13.1,121.3,2,High,2132,1,6,0,0.03687472843566895,3.69,LOW
TX-136,transformer,Karjan Substation,Karjan,22.20624,73.47206,28.7,55.1,stable,3.3,79.6,65.7,138,4,0,56.3,62.9,35.4,6.1,0,High,2121,2,6,1,0.009097470659372945,0.91,LOW
TX-137,transformer,Vadodara Central Substation,Vadodara Central,21.94471,73.32739,30.0,56.8,rising,3.92,67.8,71.5,199,1,0,37.2,37.7,30.0,79.8,1,High,1793,1,5,0,0.014030443351664548,1.4,LOW
TX-138,transformer,Halol Substation,Halol,22.12395,73.3956,40.3,67.7,rising,5.08,50.7,75.2,237,5,3,49.6,71.5,40.9,101.5,3,Medium,1439,1,6,1,0.996258148865513,99.63,CRITICAL
TX-139,transformer,Anand Substation,Anand,21.91674,73.22493,13.4,57.9,rising,3.11,78.7,65.8,159,4,0,65.7,40.3,11.6,43.3,0,Medium,1071,1,4,0,0.009608393425143719,0.96,LOW
BRK-111,breaker,Anand Substation,Anand,21.9436,73.29747,24.3,56.7,stable,4.51,64.9,107.8,263,8,0,20.6,50.6,8.8,54.6,1,Low,376,0,5,1,0.9794288920492363,97.94,MEDIUM
TX-140,transformer,Bharuch Substation,Bharuch,22.37403,73.0561,14.8,55.4,rising,3.78,77.5,71.3,120,7,0,60.3,49.3,4.9,55.0,0,Medium,1973,2,1,0,0.007130338956273696,0.71,LOW
TX-141,transformer,Vadodara Central Substation,Vadodara Central,21.98577,73.46537,6.3,53.6,stable,3.54,77.3,70.0,215,5,0,37.0,60.1,16.0,63.2,0,High,2195,3,3,0,0.0011503266560130092,0.12,LOW
RCL-110,recloser,Vadodara Central Substation,Vadodara Central,22.44734,73.11547,9.2,47.8,falling,2.63,83.9,79.6,140,3,0,50.3,53.5,23.3,62.7,0,Medium,1991,1,4,0,0.0018579471885674782,0.19,LOW
FDR-126,feeder,Karjan Substation,Karjan,22.14836,73.40353,10.6,59.9,stable,4.07,79.2,102.9,240,10,0,39.9,48.5,11.4,71.6,1,High,1485,2,4,0,0.01965487901514935,1.97,LOW
TX-142,transformer,Karjan Substation,Karjan,21.94169,72.98863,32.0,68.2,stable,5.78,58.1,95.8,378,6,0,40.8,60.0,18.8,34.4,0,Low,849,2,3,1,0.9880788894720981,98.81,HIGH
TX-143,transformer,Baroda North Substation,Baroda North,22.56409,73.13496,7.0,58.9,falling,4.43,61.2,79.8,61,7,1,36.1,57.5,11.1,21.6,1,Medium,1184,2,6,0,0.006034008063847983,0.6,LOW
RCL-111,recloser,Anand Substation,Anand,21.9009,73.13156,29.1,52.9,stable,3.31,73.2,65.5,189,1,0,0.9,43.3,3.8,37.3,0,Medium,1345,0,6,0,0.008068102394272,0.81,LOW
RCL-112,recloser,Vadodara Central Substation,Vadodara Central,22.52526,73.3227,22.1,60.5,stable,3.35,79.0,66.2,146,4,1,57.2,63.2,20.7,0.0,1,High,2600,3,5,0,0.015219513567025776,1.52,LOW
BRK-112,breaker,Karjan Substation,Karjan,22.2315,72.96931,32.8,60.3,rising,3.48,73.1,67.9,229,5,0,31.0,43.7,21.7,15.1,0,Low,20,0,1,0,0.009035820724303412,0.9,LOW
FDR-127,feeder,Nadiad Substation,Nadiad,22.38095,73.46182,17.3,53.1,rising,2.82,73.4,57.7,160,5,0,9.0,44.6,28.4,85.9,0,High,2114,2,5,0,0.006091646405812149,0.61,LOW
TX-144,transformer,Nadiad Substation,Nadiad,22.53992,72.94021,40.6,61.4,stable,3.94,65.7,65.6,169,10,0,35.8,66.0,25.5,77.3,0,Medium,1272,1,6,1,0.9879879079399322,98.8,HIGH
FDR-128,feeder,Bharuch Substation,Bharuch,22.5227,73.0989,26.6,68.3,rising,5.04,67.3,90.4,294,7,0,15.3,44.0,7.2,18.8,0,Medium,1336,0,4,1,0.9943808454737715,99.44,CRITICAL
BRK-113,breaker,Nadiad Substation,Nadiad,22.18237,73.36831,39.2,57.4,falling,3.58,67.4,49.9,238,3,0,31.3,66.1,3.3,44.2,0,Medium,597,1,5,0,0.03989264323100912,3.99,LOW
FDR-129,feeder,Baroda South Substation,Baroda South,21.93476,73.41229,32.0,56.4,stable,3.26,64.8,52.4,181,2,0,60.0,68.7,8.3,27.7,0,Medium,1469,0,4,0,0.013539666039450544,1.35,LOW
TX-145,transformer,Godhra Substation,Godhra,22.26445,73.27416,1.9,57.1,stable,3.76,79.7,93.4,167,6,0,40.0,41.6,42.6,17.1,0,Low,112,0,6,0,0.009621516356819657,0.96,LOW
TX-146,transformer,Bharuch Substation,Bharuch,22.59823,73.05566,22.2,58.7,rising,4.02,76.5,66.3,240,3,0,30.9,55.3,21.4,79.8,0,Low,20,0,4,0,0.21424713914298404,21.42,MEDIUM
FDR-130,feeder,Anand Substation,Anand,21.96251,73.11317,32.4,61.4,stable,3.46,66.3,42.4,217,6,0,67.0,50.4,28.9,36.8,0,High,1638,4,6,0,0.008211938705788395,0.82,LOW
TX-147,transformer,Bharuch Substation,Bharuch,22.02625,72.94849,3.4,52.1,stable,2.41,78.6,54.5,86,4,0,15.3,60.9,13.9,72.0,0,High,2184,2,6,0,0.001071960679323073,0.11,LOW
RCL-113,recloser,Bharuch Substation,Bharuch,22.51389,73.08726,22.5,60.0,rising,3.44,80.4,56.4,125,4,0,44.2,53.2,19.2,11.0,0,Medium,1895,0,6,1,0.0164252694809826,1.64,LOW
FDR-131,feeder,Nadiad Substation,Nadiad,22.39778,73.37528,33.0,59.7,rising,4.19,77.6,100.0,61,3,1,51.0,68.3,13.0,47.6,1,Medium,1858,0,3,1,0.6491595352670612,64.92,MEDIUM
FDR-132,feeder,Padra Substation,Padra,22.03982,73.0578,6.4,55.8,stable,3.46,71.9,74.2,268,6,0,54.8,50.2,8.1,73.7,0,Low,150,0,5,0,0.0037818667785425885,0.38,LOW
TX-148,transformer,Vadodara Central Substation,Vadodara Central,22.5119,73.41135,42.1,60.9,rising,4.31,68.2,59.9,97,5,0,49.4,53.9,13.4,39.1,0,Low,653,0,2,1,0.9788820868651904,97.89,MEDIUM
BRK-114,breaker,Vadodara Central Substation,Vadodara Central,21.9726,73.44674,20.3,66.0,falling,4.77,59.2,92.7,293,5,1,39.8,70.9,3.5,2.9,2,Medium,797,3,2,1,0.988200143238419,98.82,HIGH
FDR-133,feeder,Halol Substation,Halol,22.38177,73.27094,31.1,60.9,falling,3.78,70.9,87.8,283,6,0,45.1,48.6,3.6,45.0,0,High,1743,1,5,1,0.9782170205674058,97.82,MEDIUM
BRK-115,breaker,Halol Substation,Halol,22.21367,73.41395,25.6,62.0,rising,3.87,78.2,65.0,156,5,0,34.8,57.3,44.5,63.6,0,Low,477,0,5,0,0.020290488283371797,2.03,LOW
