# Synthetic demonstration data - not real utility data.
# Model-estimated failure probability, deterministic grid impact, and priority ranking.
# This is a simplified network-impact model, not an electrical power-flow simulator.
asset_id,asset_type,criticality,failure_risk,risk_category,grid_impact,priority_score,priority_category,maintenance_days_ago,previous_failures,customers_affected_estimate,critical_facilities_estimate,neighbor_count,risk_factors,impact_factors,priority_reason
BRK-172,breaker,High,93.93,MEDIUM,62.27,74.8198,HIGH,288,2,2389,2,6,High vibration; Elevated temperature; Prior failures recorded; Poor oil quality; Very high model failure risk,High downstream customer count; Critical facilities downstream (2); High criticality classification,High failure risk combined with high grid impact -> HIGH priority
FDR-197,feeder,High,98.69,HIGH,60.43,74.3873,HIGH,191,0,1890,2,4,Rising temperature trend; Very high model failure risk,High downstream customer count; Critical facilities downstream (2); High criticality classification,High failure risk combined with high grid impact -> HIGH priority
FDR-277,feeder,High,99.31,HIGH,62.1,73.7561,HIGH,335,1,2299,2,6,Elevated temperature; Older equipment; Maintenance overdue; Prior failures recorded; Very high model failure risk,High downstream customer count; Critical facilities downstream (2); High criticality classification,High failure risk combined with high grid impact -> HIGH priority
FDR-110,feeder,High,99.81,CRITICAL,53.85,73.5958,HIGH,262,1,2078,1,4,Elevated temperature; Older equipment; Prior failures recorded; Rising temperature trend; Very high model failure risk,High downstream customer count; Critical facilities downstream (1); High criticality classification,High failure risk despite moderate grid impact -> HIGH priority
TX-266,transformer,High,96.9,MEDIUM,60.53,73.487,HIGH,208,0,2115,2,3,Elevated temperature; Rising temperature trend; Very high model failure risk,High downstream customer count; Critical facilities downstream (2); High criticality classification,High failure risk combined with high grid impact -> HIGH priority
TX-104,transformer,Medium,98.32,HIGH,70.97,71.2944,HIGH,282,1,3060,3,6,High vibration; Elevated temperature; Older equipment; Prior failures recorded; Poor oil quality; Very high model failure risk,High downstream customer count; Multiple critical facilities (3); Feeds 1 downstream zone(s); Reaches 1 hospital(s) via zones,High failure risk combined with high grid impact -> HIGH priority
BRK-129,breaker,High,98.64,HIGH,53.25,71.1707,HIGH,218,2,2377,1,1,Elevated temperature; Older equipment; Prior failures recorded; Very high model failure risk,High downstream customer count; Critical facilities downstream (1); High criticality classification,High failure risk despite moderate grid impact -> HIGH priority
FDR-302,feeder,High,96.81,MEDIUM,54.31,70.8871,HIGH,198,1,3015,1,1,Prior failures recorded; Rising temperature trend; Very high model failure risk,High downstream customer count; Critical facilities downstream (1); High criticality classification,High failure risk despite moderate grid impact -> HIGH priority
CAP-123,capacitor_bank,High,99.53,CRITICAL,54.19,69.6151,HIGH,323,0,1873,1,6,High vibration; Elevated temperature; Older equipment; Maintenance overdue; Rising temperature trend; Very high model failure risk,High downstream customer count; Critical facilities downstream (1); High criticality classification,High failure risk despite moderate grid impact -> HIGH priority
BRK-102,breaker,High,99.21,HIGH,47.46,69.2599,HIGH,271,2,1989,0,6,Elevated temperature; Older equipment; Prior failures recorded; Rising temperature trend; Poor oil quality; Very high model failure risk,High downstream customer count; High criticality classification,High failure risk despite moderate grid impact -> HIGH priority
CAP-121,capacitor_bank,High,99.16,HIGH,53.52,68.7654,HIGH,338,0,2307,1,2,Elevated temperature; Maintenance overdue; Rising temperature trend; Poor oil quality; Very high model failure risk,High downstream customer count; Critical facilities downstream (1); High criticality classification,High failure risk despite moderate grid impact -> HIGH priority
TX-332,transformer,High,99.54,CRITICAL,61.55,68.1705,HIGH,82,0,2430,2,4,Elevated temperature; Older equipment; Very high model failure risk,High downstream customer count; Critical facilities downstream (2); High criticality classification,High failure risk combined with high grid impact -> HIGH priority
FDR-224,feeder,High,96.23,MEDIUM,61.94,68.1451,HIGH,175,0,2216,2,6,Elevated temperature; Older equipment; Very high model failure risk,High downstream customer count; Critical facilities downstream (2); High criticality classification,High failure risk combined with high grid impact -> HIGH priority
FDR-314,feeder,High,99.02,HIGH,59.57,68.0025,HIGH,204,0,2042,2,1,Elevated temperature; Older equipment; Very high model failure risk,High downstream customer count; Critical facilities downstream (2); High criticality classification,High failure risk despite moderate grid impact -> HIGH priority
BRK-163,breaker,High,98.94,HIGH,53.93,67.6961,HIGH,256,1,2314,1,3,Elevated temperature; Older equipment; Prior failures recorded; Very high model failure risk,High downstream customer count; Critical facilities downstream (1); High criticality classification,High failure risk despite moderate grid impact -> HIGH priority
FDR-118,feeder,High,90.35,MEDIUM,59.97,67.5447,HIGH,189,0,2232,2,1,Rising temperature trend; Very high model failure risk,High downstream customer count; Critical facilities downstream (2); High criticality classification,High failure risk despite moderate grid impact -> HIGH priority
TX-101,transformer,High,98.7,HIGH,52.8,67.2277,HIGH,321,0,1962,1,2,Elevated temperature; Older equipment; Maintenance overdue; Rising temperature trend; Very high model failure risk,High downstream customer count; Critical facilities downstream (1); High criticality classification,High failure risk despite moderate grid impact -> HIGH priority
FDR-193,feeder,High,99.36,HIGH,53.03,67.0251,HIGH,266,0,2263,1,1,Elevated temperature; Older equipment; Rising temperature trend; Very high model failure risk,High downstream customer count; Critical facilities downstream (1); High criticality classification,High failure risk despite moderate grid impact -> HIGH priority
FDR-155,feeder,High,95.61,MEDIUM,61.03,66.812,HIGH,180,0,1979,2,5,Older equipment; Very high model failure risk,High downstream customer count; Critical facilities downstream (2); High criticality classification,High failure risk combined with high grid impact -> HIGH priority
TX-186,transformer,High,98.82,HIGH,54.15,66.2846,HIGH,165,0,2222,1,4,Elevated temperature; Rising temperature trend; Very high model failure risk,High downstream customer count; Critical facilities downstream (1); High criticality classification,High failure risk despite moderate grid impact -> HIGH priority
CAP-125,capacitor_bank,High,97.14,MEDIUM,59.8,65.9551,HIGH,151,0,1640,2,4,Elevated temperature; Older equipment; Very high model failure risk,High downstream customer count; Critical facilities downstream (2); High criticality classification,High failure risk despite moderate grid impact -> HIGH priority
TX-155,transformer,High,98.24,HIGH,54.07,65.6419,HIGH,156,0,2185,1,4,Elevated temperature; Older equipment; Rising temperature trend; Very high model failure risk,High downstream customer count; Critical facilities downstream (1); High criticality classification,High failure risk despite moderate grid impact -> HIGH priority
FDR-213,feeder,High,93.59,MEDIUM,61.0,65.5351,HIGH,189,0,2350,2,3,Elevated temperature; Very high model failure risk,High downstream customer count; Critical facilities downstream (2); High criticality classification,High failure risk combined with high grid impact -> HIGH priority
TX-242,transformer,High,99.47,CRITICAL,45.93,64.1244,HIGH,366,2,1412,0,6,High vibration; Elevated temperature; Older equipment; Maintenance overdue; Prior failures recorded; Very high model failure risk,High criticality classification,High failure risk despite moderate grid impact -> HIGH priority
TX-167,transformer,High,93.78,MEDIUM,62.14,64.0019,HIGH,38,0,2775,2,4,Very high model failure risk,High downstream customer count; Critical facilities downstream (2); High criticality classification,High failure risk combined with high grid impact -> HIGH priority
TX-323,transformer,High,94.8,MEDIUM,58.82,63.3503,HIGH,153,0,1575,2,2,Older equipment; Very high model failure risk,High downstream customer count; Critical facilities downstream (2); High criticality classification,High failure risk despite moderate grid impact -> HIGH priority
FDR-161,feeder,High,93.52,MEDIUM,58.78,62.3036,HIGH,145,1,1561,2,2,Elevated temperature; Older equipment; Prior failures recorded; Very high model failure risk,High downstream customer count; Critical facilities downstream (2); High criticality classification,High failure risk despite moderate grid impact -> HIGH priority
CAP-117,capacitor_bank,High,98.98,HIGH,53.86,61.2654,HIGH,193,0,1738,1,6,Elevated temperature; Older equipment; Very high model failure risk,High downstream customer count; Critical facilities downstream (1); High criticality classification,High failure risk despite moderate grid impact -> HIGH priority
TX-353,transformer,High,95.8,MEDIUM,54.2,61.2631,HIGH,286,1,2248,1,4,Elevated temperature; Older equipment; High load on asset; Prior failures recorded; Very high model failure risk,High downstream customer count; Critical facilities downstream (1); High criticality classification,High failure risk despite moderate grid impact -> HIGH priority
BRK-177,breaker,High,98.7,HIGH,52.26,61.1621,HIGH,304,0,1904,1,1,High vibration; Elevated temperature; Older equipment; Maintenance overdue; Very high model failure risk,High downstream customer count; Critical facilities downstream (1); High criticality classification,High failure risk despite moderate grid impact -> HIGH priority
TX-138,transformer,Medium,99.63,CRITICAL,48.52,60.2699,HIGH,237,3,1439,1,6,High vibration; Elevated temperature; Older equipment; Prior failures recorded; Rising temperature trend; Poor oil quality; Very high model failure risk,Critical facilities downstream (1),High failure risk despite moderate grid impact -> HIGH priority
CAP-166,capacitor_bank,High,98.63,HIGH,53.71,60.1646,HIGH,152,0,2633,1,1,Older equipment; Very high model failure risk,High downstream customer count; Critical facilities downstream (1); High criticality classification,High failure risk despite moderate grid impact -> HIGH priority
FDR-173,feeder,High,81.11,MEDIUM,60.89,59.5865,HIGH,67,0,2294,2,3,Elevated temperature; Older equipment; Rising temperature trend; Elevated model failure risk,High downstream customer count; Critical facilities downstream (2); High criticality classification,High failure risk combined with high grid impact -> HIGH priority
TX-260,transformer,Medium,98.64,HIGH,55.23,59.3654,HIGH,240,1,1476,2,5,Elevated temperature; Older equipment; Prior failures recorded; Rising temperature trend; Very high model failure risk,Critical facilities downstream (2),High failure risk despite moderate grid impact -> HIGH priority
TX-339,transformer,Medium,99.63,CRITICAL,47.49,59.2553,HIGH,258,3,1249,1,5,High vibration; Elevated temperature; Older equipment; High load on asset; Prior failures recorded; Rising temperature trend; Poor oil quality; Very high model failure risk,Critical facilities downstream (1),High failure risk despite moderate grid impact -> HIGH priority
FDR-172,feeder,Medium,99.4,CRITICAL,47.58,59.2063,HIGH,256,3,1527,1,3,Elevated temperature; Prior failures recorded; Rising temperature trend; Very high model failure risk,High downstream customer count; Critical facilities downstream (1),High failure risk despite moderate grid impact -> HIGH priority
TX-205,transformer,Medium,99.45,CRITICAL,58.21,58.6151,HIGH,247,0,1471,2,2,High vibration; Elevated temperature; Older equipment; Rising temperature trend; Poor oil quality; Very high model failure risk,Critical facilities downstream (2); Feeds 1 downstream zone(s),High failure risk despite moderate grid impact -> HIGH priority
RCL-140,recloser,High,99.6,CRITICAL,46.25,58.4705,HIGH,258,0,1659,0,5,Elevated temperature; Older equipment; Rising temperature trend; Very high model failure risk,High downstream customer count; High criticality classification,High failure risk despite moderate grid impact -> HIGH priority
CAP-164,capacitor_bank,Medium,98.25,HIGH,57.4,57.7256,HIGH,289,1,2196,2,6,Elevated temperature; Older equipment; Prior failures recorded; Very high model failure risk,High downstream customer count; Critical facilities downstream (2),High failure risk despite moderate grid impact -> HIGH priority
TX-249,transformer,Medium,99.34,HIGH,48.61,57.7051,HIGH,340,2,1470,1,6,High vibration; Elevated temperature; Older equipment; Maintenance overdue; Prior failures recorded; Rising temperature trend; Poor oil quality; Very high model failure risk,Critical facilities downstream (1),High failure risk despite moderate grid impact -> HIGH priority
FDR-133,feeder,High,97.82,MEDIUM,53.47,56.496,HIGH,283,0,1743,1,5,Elevated temperature; Older equipment; Very high model failure risk,High downstream customer count; Critical facilities downstream (1); High criticality classification,High failure risk despite moderate grid impact -> HIGH priority
TX-228,transformer,Medium,99.43,CRITICAL,60.5,55.944,HIGH,233,1,1434,3,1,Elevated temperature; Older equipment; Prior failures recorded; Very high model failure risk,Multiple critical facilities (3),High failure risk combined with high grid impact -> HIGH priority
TX-383,transformer,Medium,97.57,MEDIUM,53.03,55.7395,HIGH,193,1,1178,2,2,Elevated temperature; Older equipment; High load on asset; Prior failures recorded; Rising temperature trend; Very high model failure risk,Critical facilities downstream (2),High failure risk despite moderate grid impact -> HIGH priority
BRK-126,breaker,Medium,99.02,HIGH,52.02,54.9402,HIGH,152,1,859,2,3,Elevated temperature; Older equipment; Prior failures recorded; Rising temperature trend; Poor oil quality; Very high model failure risk,Critical facilities downstream (2),High failure risk despite moderate grid impact -> HIGH priority
BRK-114,breaker,Medium,98.82,HIGH,58.29,54.477,HIGH,293,1,797,3,2,Elevated temperature; High load on asset; Prior failures recorded; Very high model failure risk,Multiple critical facilities (3),High failure risk despite moderate grid impact -> HIGH priority
TX-384,transformer,Medium,88.68,MEDIUM,55.26,53.8127,HIGH,272,1,1358,2,6,Elevated temperature; Prior failures recorded; Rising temperature trend; Poor oil quality; Elevated model failure risk,Critical facilities downstream (2),High failure risk despite moderate grid impact -> HIGH priority
FDR-200,feeder,Medium,99.57,CRITICAL,46.29,53.8001,HIGH,235,3,1248,1,2,Elevated temperature; Older equipment; Prior failures recorded; Very high model failure risk,Critical facilities downstream (1),High failure risk despite moderate grid impact -> HIGH priority
TX-179,transformer,Medium,99.17,HIGH,46.47,53.7495,HIGH,231,2,1424,1,1,High vibration; Elevated temperature; Older equipment; Prior failures recorded; Rising temperature trend; Poor oil quality; Very high model failure risk,Critical facilities downstream (1),High failure risk despite moderate grid impact -> HIGH priority
CAP-129,capacitor_bank,Medium,99.56,CRITICAL,47.94,53.6019,HIGH,367,1,1656,1,3,High vibration; Elevated temperature; Older equipment; Maintenance overdue; Prior failures recorded; Rising temperature trend; Poor oil quality; Very high model failure risk,High downstream customer count; Critical facilities downstream (1),High failure risk despite moderate grid impact -> HIGH priority
FDR-250,feeder,Medium,96.81,MEDIUM,46.25,52.9744,HIGH,295,2,1132,1,3,High vibration; Elevated temperature; Older equipment; Prior failures recorded; Rising temperature trend; Poor oil quality; Very high model failure risk,Critical facilities downstream (1),High failure risk despite moderate grid impact -> HIGH priority
FDR-217,feeder,Medium,97.73,MEDIUM,48.46,52.207,HIGH,288,2,1700,1,4,Elevated temperature; Older equipment; Prior failures recorded; Very high model failure risk,High downstream customer count; Critical facilities downstream (1),High failure risk despite moderate grid impact -> HIGH priority
TX-223,transformer,Medium,95.89,MEDIUM,48.25,51.84,HIGH,357,1,1623,1,4,Elevated temperature; Older equipment; Maintenance overdue; Prior failures recorded; Rising temperature trend; Very high model failure risk,High downstream customer count; Critical facilities downstream (1),High failure risk despite moderate grid impact -> HIGH priority
FDR-227,feeder,Medium,96.54,MEDIUM,53.94,51.5909,HIGH,164,0,1446,2,2,Older equipment; Rising temperature trend; Very high model failure risk,Critical facilities downstream (2),High failure risk despite moderate grid impact -> HIGH priority
FDR-270,feeder,Medium,99.85,CRITICAL,54.95,51.0665,HIGH,236,0,1814,2,2,Elevated temperature; Older equipment; Poor oil quality; Very high model failure risk,High downstream customer count; Critical facilities downstream (2),High failure risk despite moderate grid impact -> HIGH priority
FDR-326,feeder,High,78.47,MEDIUM,54.88,51.0392,HIGH,302,0,2189,1,6,High vibration; Elevated temperature; Maintenance overdue; High load on asset; Elevated model failure risk,High downstream customer count; Critical facilities downstream (1); High criticality classification,High failure risk despite moderate grid impact -> HIGH priority
TX-292,transformer,Medium,98.37,HIGH,47.04,51.036,HIGH,290,1,1480,1,2,Elevated temperature; Older equipment; Prior failures recorded; Rising temperature trend; Very high model failure risk,Critical facilities downstream (1),High failure risk despite moderate grid impact -> HIGH priority
RCL-131,recloser,Medium,95.97,MEDIUM,61.77,50.601,HIGH,243,0,1458,3,4,Elevated temperature; Very high model failure risk,Multiple critical facilities (3),High failure risk combined with high grid impact -> HIGH priority
TX-232,transformer,Medium,98.63,HIGH,53.85,50.0332,HIGH,279,0,1184,2,4,Elevated temperature; Older equipment; Very high model failure risk,Critical facilities downstream (2),High failure risk despite moderate grid impact -> HIGH priority
BRK-141,breaker,High,98.42,HIGH,47.39,50.0092,HIGH,259,0,2141,0,5,Elevated temperature; Older equipment; Poor oil quality; Very high model failure risk,High downstream customer count; High criticality classification,High failure risk despite moderate grid impact -> HIGH priority
FDR-254,feeder,Medium,97.76,MEDIUM,54.19,49.5692,MEDIUM,255,1,1528,2,2,Older equipment; Prior failures recorded; Very high model failure risk,High downstream customer count; Critical facilities downstream (2),High failure risk despite moderate grid impact -> MEDIUM priority
TX-295,transformer,Medium,98.97,HIGH,54.71,49.0699,MEDIUM,143,0,1879,2,1,Older equipment; Very high model failure risk,High downstream customer count; Critical facilities downstream (2),High failure risk despite moderate grid impact -> MEDIUM priority
RCL-114,recloser,Medium,97.68,MEDIUM,53.88,48.9831,MEDIUM,236,0,1192,2,4,Elevated temperature; Very high model failure risk,Critical facilities downstream (2),High failure risk despite moderate grid impact -> MEDIUM priority
BRK-109,breaker,Medium,90.22,MEDIUM,45.19,48.6565,MEDIUM,334,2,976,1,2,High vibration; Elevated temperature; Maintenance overdue; Prior failures recorded; Rising temperature trend; Very high model failure risk,Critical facilities downstream (1),High failure risk despite moderate grid impact -> MEDIUM priority
BRK-160,breaker,Medium,98.83,HIGH,45.47,48.4743,MEDIUM,198,1,1138,1,1,Elevated temperature; Older equipment; High load on asset; Prior failures recorded; Rising temperature trend; Very high model failure risk,Critical facilities downstream (1),High failure risk despite moderate grid impact -> MEDIUM priority
BRK-204,breaker,Medium,98.9,HIGH,49.43,48.3592,MEDIUM,158,0,1768,1,6,Elevated temperature; Older equipment; Rising temperature trend; Very high model failure risk,High downstream customer count; Critical facilities downstream (1),High failure risk despite moderate grid impact -> MEDIUM priority
FDR-105,feeder,High,83.83,MEDIUM,48.22,48.1844,MEDIUM,323,0,2362,0,6,Elevated temperature; Older equipment; Maintenance overdue; Elevated model failure risk,High downstream customer count; High criticality classification,High failure risk despite moderate grid impact -> MEDIUM priority
TX-322,transformer,Medium,99.62,CRITICAL,47.02,47.6301,MEDIUM,263,0,1027,1,6,Elevated temperature; Older equipment; High load on asset; Rising temperature trend; Very high model failure risk,Critical facilities downstream (1),High failure risk despite moderate grid impact -> MEDIUM priority
FDR-278,feeder,Medium,98.91,HIGH,38.23,47.5118,MEDIUM,274,3,984,0,2,Elevated temperature; Older equipment; Prior failures recorded; Rising temperature trend; Poor oil quality; Very high model failure risk,-,High failure risk despite moderate grid impact -> MEDIUM priority
BRK-201,breaker,Medium,99.42,CRITICAL,48.27,47.481,MEDIUM,159,0,1489,1,5,Elevated temperature; Older equipment; Rising temperature trend; Very high model failure risk,Critical facilities downstream (1),High failure risk despite moderate grid impact -> MEDIUM priority
TX-226,transformer,Medium,98.93,HIGH,41.95,47.3231,MEDIUM,132,2,1899,0,4,Elevated temperature; Older equipment; Prior failures recorded; Rising temperature trend; Very high model failure risk,High downstream customer count,High failure risk despite moderate grid impact -> MEDIUM priority
BRK-156,breaker,Medium,96.29,MEDIUM,45.38,47.2452,MEDIUM,208,1,1018,1,2,Elevated temperature; Older equipment; Prior failures recorded; Rising temperature trend; Poor oil quality; Very high model failure risk,Critical facilities downstream (1),High failure risk despite moderate grid impact -> MEDIUM priority
FDR-106,feeder,Medium,99.64,CRITICAL,45.86,47.1337,MEDIUM,319,1,1036,1,3,Elevated temperature; Older equipment; Maintenance overdue; Prior failures recorded; Poor oil quality; Very high model failure risk,Critical facilities downstream (1),High failure risk despite moderate grid impact -> MEDIUM priority
FDR-276,feeder,Medium,99.61,CRITICAL,47.93,47.111,MEDIUM,149,0,1381,1,5,Elevated temperature; Older equipment; Rising temperature trend; Very high model failure risk,Critical facilities downstream (1),High failure risk despite moderate grid impact -> MEDIUM priority
TX-110,transformer,Medium,93.85,MEDIUM,48.19,46.642,MEDIUM,318,0,1749,1,3,Maintenance overdue; Rising temperature trend; Very high model failure risk,High downstream customer count; Critical facilities downstream (1),High failure risk despite moderate grid impact -> MEDIUM priority
TX-346,transformer,Medium,94.66,MEDIUM,49.03,46.2045,MEDIUM,182,0,1933,1,4,Older equipment; Rising temperature trend; Very high model failure risk,High downstream customer count; Critical facilities downstream (1),High failure risk despite moderate grid impact -> MEDIUM priority
TX-199,transformer,Medium,99.8,CRITICAL,47.6,46.1512,MEDIUM,391,0,1170,1,6,Elevated temperature; Older equipment; Maintenance overdue; Poor oil quality; Very high model failure risk,Critical facilities downstream (1),High failure risk despite moderate grid impact -> MEDIUM priority
FDR-117,feeder,Medium,99.47,CRITICAL,45.75,45.8178,MEDIUM,225,1,846,1,5,High vibration; Elevated temperature; Older equipment; High load on asset; Prior failures recorded; Very high model failure risk,Critical facilities downstream (1),High failure risk despite moderate grid impact -> MEDIUM priority
BRK-214,breaker,Medium,95.79,MEDIUM,47.07,45.69,MEDIUM,250,0,1360,1,3,Rising temperature trend; Very high model failure risk,Critical facilities downstream (1),High failure risk despite moderate grid impact -> MEDIUM priority
FDR-328,feeder,Medium,90.19,MEDIUM,54.18,45.1854,MEDIUM,213,0,1395,2,3,Elevated temperature; Very high model failure risk,Critical facilities downstream (2),High failure risk despite moderate grid impact -> MEDIUM priority
RCL-138,recloser,Medium,96.79,MEDIUM,46.87,45.1348,MEDIUM,180,0,1189,1,4,Elevated temperature; Older equipment; Rising temperature trend; Very high model failure risk,Critical facilities downstream (1),High failure risk despite moderate grid impact -> MEDIUM priority
TX-160,transformer,Medium,99.77,CRITICAL,40.97,44.8734,MEDIUM,271,2,1522,0,4,High vibration; Elevated temperature; Older equipment; Prior failures recorded; Poor oil quality; Very high model failure risk,High downstream customer count,High failure risk despite moderate grid impact -> MEDIUM priority
BRK-175,breaker,Medium,98.22,HIGH,48.8,44.7873,MEDIUM,250,0,1533,1,6,Elevated temperature; High load on asset; Very high model failure risk,High downstream customer count; Critical facilities downstream (1),High failure risk despite moderate grid impact -> MEDIUM priority
FDR-220,feeder,Medium,99.51,CRITICAL,44.11,44.7351,MEDIUM,272,1,766,1,2,High vibration; Elevated temperature; Older equipment; Prior failures recorded; Poor oil quality; Very high model failure risk,Critical facilities downstream (1),High failure risk despite moderate grid impact -> MEDIUM priority
TX-157,transformer,Medium,99.13,HIGH,40.57,44.64,MEDIUM,317,1,1273,0,5,Elevated temperature; Older equipment; Maintenance overdue; Prior failures recorded; Rising temperature trend; Poor oil quality; Very high model failure risk,-,High failure risk despite moderate grid impact -> MEDIUM priority
TX-168,transformer,Medium,99.59,CRITICAL,47.84,44.3576,MEDIUM,237,0,1236,1,6,Elevated temperature; Older equipment; Very high model failure risk,Critical facilities downstream (1),High failure risk despite moderate grid impact -> MEDIUM priority
TX-298,transformer,Medium,98.86,HIGH,40.77,44.1032,MEDIUM,257,1,1743,0,2,Elevated temperature; Prior failures recorded; Rising temperature trend; Very high model failure risk,High downstream customer count,High failure risk despite moderate grid impact -> MEDIUM priority
